address,block,reserve0,reserve1
231f3381d10478bfc2ca552195b9d8b15968b60c,99fc16,7bac22982dd372f819069,40d70767eb5498bf7
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99fc1b,14cc72b91d442c15730,193c061eec2177b90
260e069dead76baac587b5141bb606ef8b9bab6c,99fc1c,2740e56818814c155dd,8abaa07a004bffcc
ae461ca67b15dc8dc81ce7615e0320da1a9ab8d5,99fc1d,228dae848729e691eb3,265afc4a4
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99fc1d,934e497,b050d21863fc86f
55d5c232d921b9eaa6b37b5845e439acd04b4dba,99fc1f,1a9054b05eef1,556209fe11099da1b
30eb5e15476e6a80f4f3cd8479749b4881dab1b8,99fc1f,34066d086b71,3550358f8272
718dd8b743ea19d71bdb4cb48bb984b73a65ce06,99fc21,31f5c4ed27680000,26441985a9e82ee2e42d
718dd8b743ea19d71bdb4cb48bb984b73a65ce06,99fc23,25488f030784a468,3350dbae94305962e42d
55d5c232d921b9eaa6b37b5845e439acd04b4dba,99fc24,1aaa2c0895da2,550f8a59f90b9cac6
a478c2975ab1ea89e8196811f51a7b7ade33eb11,99fc24,14898202e03ceeed4c7,198e85c3041f78ae5
ae461ca67b15dc8dc81ce7615e0320da1a9ab8d5,99fc24,22d09f3ac43123ba11c,26117515d
260e069dead76baac587b5141bb606ef8b9bab6c,99fc24,2177072153c49788a46,a2cc32deb531e7cc
260e069dead76baac587b5141bb606ef8b9bab6c,99fc25,24a0b662336114935b0,94c74d1e637d201f
260e069dead76baac587b5141bb606ef8b9bab6c,99fc2b,607742f91e2e147a450,187d5c522ec780d67
55d5c232d921b9eaa6b37b5845e439acd04b4dba,99fc2b,1cb6982e5a5cf,5b9873b836d394960
b4e16d0168e52d35cacd2c6185b44281ec28c9dc,99fc2c,bfa5278,e56316cb28c6249
8a982c9430c5ba14f3ecfa4a910704d0ab474d04,99fc30,227a45e653dc700000,de0b6b3a7640000
70ea56e46266f0137bac6b75710e3546f47c855d,99fc35,a95c107a2a4c4f9d2,19311af01042b455
bb2b8038a1640196fbe3e38816f3e67cba72d940,99fc35,9bc5de,403fa44d13e44d56
9896bd979f9da57857322cc15e154222c4658a5a,99fc36,19482a9f8,35f2d3d1da6a4d
55d5c232d921b9eaa6b37b5845e439acd04b4dba,99fc37,1c71d896233de,5c767f237149d4960
d6054455ca2e1aef02178e0462d9ab953bea4e23,99fc38,e339f1722cf9c315be,1413d252eacbf361
260e069dead76baac587b5141bb606ef8b9bab6c,99fc39,5fb8e577d67484383b8,18ae35df8870e0d67
55d5c232d921b9eaa6b37b5845e439acd04b4dba,99fc3a,1c2e5fa205c71,5d548a8eabc014960
6aeebc2f5c979fd5c4361c2d288e55ac6b7e39bb,99fc3a,152d02c7e14af6800000,4db732547630000
55d5c232d921b9eaa6b37b5845e439acd04b4dba,99fc3c,1c99d6ff7252a,5bf6e52de46dc3e56
878b76a1a0da1be6f7b02e1abb5ee47380817362,99fc41,56710f100,483da700
55d5c232d921b9eaa6b37b5845e439acd04b4dba,99fc46,1c55a1ebbaf71,5cd4f0991ee403e56
55d5c232d921b9eaa6b37b5845e439acd04b4dba,99fc46,1c96addc193ad,5c0259d337af75cd6
a2107fa5b38d9bbd2c461d6edf11b11a50f6b974,99fc47,3bb657743f6b957dd7,119fc703a798b6792
55d5c232d921b9eaa6b37b5845e439acd04b4dba,99fc49,1c98226387bad,5bfdaeb73c34b301b
55d5c232d921b9eaa6b37b5845e439acd04b4dba,99fc4d,1cab0d44243ad,5c3a8ac9d6579c4fa
